Location name,Amount spent (PYG)
Alto Paraguay Department,190235
Alto Paraná Department,7877734
Amambay Department,1157369
Asunción,6858204
Boquerón department,302586
Caaguazú Department,2589212
Caazapá Department,466526
Canindeyú Department,740782
Central Department,15156173
Concepción Department (Paraguay),1070150
Cordillera Department,1739750
Guairá Department,860541
Itapúa Department,3776021
Misiones Department,1120824
Paraguarí Department,790304
Presidente Hayes Department,541710
San Pedro Department,940403
Unknown,699
Ñeembucú Department,799696
