Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,309
Bangkok,14416
Bueng Kan,≤100
Buriram,266
Chachoengsao,325
Chai Nat,≤100
Chaiyaphum,166
Chanthaburi,920
Chiang Mai,913
Chiang Rai,251
Chon Buri,2112
Chumphon,275
Kalasin,159
Kamphaeng Phet,320
Kanchanaburi,269
Khon Kaen,315
Krabi,365
Lampang,201
Lamphun,180
Loei,110
Lop Buri,132
Mae Hong Son,402
Maha Sarakham,168
Mukdahan,≤100
Nakhon Nayok,≤100
Nakhon Pathom,346
Nakhon Phanom,547
Nakhon Ratchasima,546
Nakhon Sawan,1073
Nakhon Si Thammarat,1836
Nan,≤100
Narathiwat,157
Nong Bua Lam Phu,≤100
Nong Khai,≤100
Nonthaburi,532
Pathum Thani,480
Pattani,405
Phangnga,231
Phatthalung,603
Phayao,439
Phetchabun,158
Phetchaburi,248
Phichit,275
Phitsanulok,3316
Phrae,≤100
Phuket,2216
Prachin Buri,131
Prachuap Khiri Khan,327
Ranong,≤100
Ratchaburi,369
Rayong,298
Roi Et,242
Sa Kaeo,101
Sakon Nakhon,300
Samut Prakan,871
Samut Sakhon,1319
Samut Songkhram,≤100
Saraburi,171
Satun,327
Sing Buri,≤100
Sisaket,223
Songkhla,3341
Sukhothai,134
Suphan Buri,186
Surat Thani,6547
Surin,508
Tak,125
Trang,281
Trat,≤100
Ubon Ratchathani,390
Udon Thani,256
Uthai Thani,154
Uttaradit,103
Yala Province,177
Yasothon,389
