Location name,Amount spent (PYG)
Alto Paraguay Department,31342
Alto Paraná Department,2470017
Amambay Department,228109
Asunción,2241915
Boquerón department,91135
Caaguazú Department,767663
Caazapá Department,173101
Canindeyú Department,207376
Central Department,5412904
Concepción Department (Paraguay),308512
Cordillera Department,650607
Guairá Department,375885
Itapúa Department,1059313
Misiones Department,288120
Paraguarí Department,278621
Presidente Hayes Department,183435
San Pedro Department,299013
Unknown,969
Ñeembucú Department,316381
