Location name,Amount spent (THB)
Amnat Charoen,801
Ang Thong,414
Ayutthaya,3889
Bangkok,130125
Bueng Kan,530
Buriram,2213
Chachoengsao,1945
Chai Nat,2011
Chaiyaphum,3551
Chanthaburi,4693
Chiang Mai,6346
Chiang Rai,2174
Chon Buri,18078
Chumphon,1617
Kalasin,940
Kamphaeng Phet,1092
Kanchanaburi,13379
Khon Kaen,13814
Krabi,3112
Lampang,1167
Lamphun,1021
Loei,929
Lop Buri,1261
Mae Hong Son,328
Maha Sarakham,1206
Mukdahan,552
Nakhon Nayok,635
Nakhon Pathom,4824
Nakhon Phanom,1971
Nakhon Ratchasima,7351
Nakhon Sawan,1856
Nakhon Si Thammarat,7015
Nan,582
Narathiwat,706
Nong Bua Lam Phu,742
Nong Khai,654
Nonthaburi,6675
Pathum Thani,11432
Pattani,1356
Phangnga,722
Phatthalung,2815
Phayao,3841
Phetchabun,2155
Phetchaburi,1526
Phichit,1504
Phitsanulok,11272
Phrae,1121
Phuket,13190
Prachin Buri,1093
Prachuap Khiri Khan,1561
Ranong,433
Ratchaburi,4923
Rayong,5037
Roi Et,1713
Sa Kaeo,725
Sakon Nakhon,2126
Samut Prakan,6416
Samut Sakhon,8482
Samut Songkhram,4139
Saraburi,2592
Satun,1102
Sing Buri,390
Sisaket,1549
Songkhla,11936
Sukhothai,1356
Suphan Buri,1706
Surat Thani,29857
Surin,2225
Tak,1007
Trang,4171
Trat,1891
Ubon Ratchathani,2883
Udon Thani,3429
Unknown,≤100
Uthai Thani,432
Uttaradit,640
Yala Province,916
Yasothon,885
