Location name,Amount spent (PYG)
Alto Paraguay Department,129304
Alto Paraná Department,1161424
Amambay Department,40374
Asunción,928346
Boquerón department,52682
Caaguazú Department,219358
Caazapá Department,36477
Canindeyú Department,51236
Central Department,2721645
Concepción Department (Paraguay),68944
Cordillera Department,89763
Guairá Department,156243
Itapúa Department,297565
Misiones Department,88581
Paraguarí Department,50544
Presidente Hayes Department,53443
San Pedro Department,76027
Unknown,≤100
Ñeembucú Department,136671
