Location name,Amount spent (EUR)
Alsace,511
Aquitaine,1118
Auvergne,296
Basse-Normandie,368
Bourgogne,413
Bretagne,922
Centre,559
Champagne-Ardenne,305
Corse,117
Franche-Comté,258
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,911
Languedoc-Roussillon,968
Limousin,157
Lorraine,611
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,871
New Caledonia,≤100
Nord-Pas-de-Calais,1039
Pays de la Loire,890
Picardie,459
Poitou-Charentes,443
Provence-Alpes-Côte d'Azur,1827
Reunion Island,135
Rhône-Alpes,1927
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,3550
