Location name,Amount spent (GTQ)
Alta Verapaz Department,2355
Baja Verapaz Department,833
Chimaltenango Department,2715
Chiquimula Department,1598
El Progreso Department,1330
Escuintla Department,3661
Guatemala Department,51999
Huehuetenango Department,4932
Izabal Department,2216
Jalapa Department,1341
Jutiapa Department,1629
Petén Department,2430
Quetzaltenango Department,5905
Quiché Department,2471
Retalhuleu Department,2290
Sacatepéquez Department,3130
San Marcos Department,7229
Santa Rosa Department,1210
Sololá Department,1553
Suchitepéquez Department,4971
Totonicapán Department,1552
Unknown,≤100
Zacapa Department,905
