Location name,Amount spent (GTQ)
Alta Verapaz Department,250
Baja Verapaz Department,≤100
Chimaltenango Department,124
Chiquimula Department,133
El Progreso Department,≤100
Escuintla Department,213
Guatemala Department,6968
Huehuetenango Department,268
Izabal Department,184
Jalapa Department,≤100
Jutiapa Department,156
Petén Department,120
Quetzaltenango Department,326
Quiché Department,175
Retalhuleu Department,≤100
Sacatepéquez Department,120
San Marcos Department,689
Santa Rosa Department,≤100
Sololá Department,111
Suchitepéquez Department,127
Totonicapán Department,≤100
Unknown,≤100
Zacapa Department,104
