Location name,Amount spent (ZAR)
Eastern Cape,1106
Free State,976
Gauteng,5131
KwaZulu-Natal,3950
Limpopo,618
Mpumalanga,739
North West,675
Northern Cape,280
Unknown,≤100
Western Cape,7132
