Page ID,Page name,Disclaimer,Amount spent (JPY),Number of ads in Library
197770137236410,日本維新の会,日本維新の会,165246,154
116754254661229,大阪市選挙管理委員会,大阪市選挙管理委員会,140818,4
1904070096535109,スマート選挙,株式会社センキョ,114660,39
475681929154100,国連UNHCR協会,国連UNHCR協会,96135,12
684161888345926,西日本新聞me,西日本新聞me,49138,29
101060982860934,福岡県選挙管理委員会,福岡県選挙管理委員会,44012,5
100789405705259,神奈川県選挙管理委員会,株式会社旭広告社,29378,28
122355814117318,ワクワク応援団,浦山やすこワクワク応援団,27383,4
651801698258818,NewsTV,NewsTV,26237,6
105839479114586,栃木県選挙管理委員会,栃木県選挙管理委員会,26053,2
1886360704784999,秋田県選挙管理委員会事務局,秋田県選挙管理委員会事務局,23343,4
115001374867292,福井県選挙管理委員会事務局,福井県選挙管理委員会,18418,2
239558679475625,株式会社トマス技術研究所,Kenji Fukutomi,17734,12
389183207926342,滋賀県議会議員 田中松太郎,滋賀県議会議員 田中松太郎,15691,1
208661552479830,日本財団,Shigeru Fujita,14469,10
103914976352692,選挙ドットコム,イチニ株式会社,9418,2
105675478186991,金井たかし　江戸川区の政策研究,金井 高志,8719,4
109760801771369,橋本 みきひこ,橋本 みきひこ,8189,12
123217824515511,牛見 航  /  山口県議会へ,Wataru Ushimi,7978,2
105817000162440,大分県選挙管理委員会,大分県選挙管理委員会,7632,5
106343274834613,群馬県議会議員　小川あきら,群馬県議会議員　小川あきら,7492,5
579187028792625,社長と会社の手元現金を増やす仕組みづくりの専門家,社長と会社の手元現金を増やす仕組みづくりの専門家,7409,1
118784644457500,日本維新の会 よだかずたか / 千葉県政策委員 - 美浜区 -,竹澤敏道,7265,6
853050658125901,マイリノ,These ads ran without a disclaimer,7064,1
107313352292674,栄ひろみ,栄ひろみ事務所,6727,7
102468941548369,宮城県民共済,宮城県民共済,6630,2
109287798759243,春山あすか 千代田区政対策委員,春山あすか後援会,6562,2
389648674469588,鹿児島県選挙管理委員会,鹿児島県選挙管理委員会,4998,2
700799386690513,石橋なおき「新しい荒川を創る！」,石橋なおき「新しい荒川を創る！」,4819,2
468149989932273,島根県選挙管理委員会,株式会社リステップ,4742,2
1042236442459253,大阪府議会議員 原田りょう,原田 りょう,4285,1
1671853216366712,東こう史ひろ,東猴史紘,4046,1
108491485442354,下川たかひこ後援会,下川たかひこ後援会,3269,7
200480966638039,Supremacy 1914,These ads ran without a disclaimer,3176,2
346736506518940,政治家　沼谷純,寺内 崇浩,3041,1
1792524970793058,百瀬智之後援会,百瀬智之後援会,2971,1
103012319304529,市橋 ひろし,市橋 ひろし,2956,3
360481987876805,静岡県議会議員いたみ雅治,静岡県議会議員いたみ雅治,2936,1
302301300452310,馬場ちから後援会,馬場ちから後援会,2822,1
105574855797872,セルフブランディングアップ【社長塾】,These ads ran without a disclaimer,2790,1
122947007374156,小林あや後援会,小林あや後援会,2760,3
120885054247021,しばた正洋,しばた 正洋,2753,2
766572097059549,平野恭子,郷学,2707,1
108971153774431,品川区議会自民党,株式会社マイム,2399,1
113041875048507,山形県選挙管理委員会事務局,山形県選挙管理委員会事務局,2163,1
108228632202066,日本維新の会の「若松尚利」 秋田市の選挙,Naotoshi Wakamatsu,2050,1
151214938794853,ミエセン,ジャッグジャパン株式会社,1846,9
108136530968730,おねがい社長！,These ads ran without a disclaimer,1677,3
111162221891222,参政党 / 片桐きよみ（きよみん）,参政党 北海道連支部,1592,3
547986165247623,NPO法人 多民族共生人権教育センター,NPO法人 多民族共生人権教育センター,1421,1
105458429152816,清水直幸後援会｜清水直幸とよいまちを子どもにわたす会,Ryo Shimizu,1416,1
486394434773945,春日部市議会議員　栄ひろみ　サポーターズクラブ,栄ひろみサポーターズクラブ,1319,1
101240719544967,政経学修会,政経学修会,1225,2
1551754378425235,みどり岡山,みどり岡山,1196,1
104837455833648,Issues_ad,株式会社issues,1157,2
320058578440552,深作ゆい,These ads ran without a disclaimer,1130,1
104367261609980,飯牟礼克年（いいむれ かつとし）後援会,Katsutoshi Iimure,1082,1
1589376521307736,飯田まさなり／平塚市食育推進会議委員,飯田まさなり／平塚市食育推進会議委員,1050,2
110293788602871,天野英雄（岡山県笠岡市･自民党）,天野英雄（岡山県笠岡市･自民党）,994,1
541339969214686,早川浩,早川 浩,993,6
1454796194806512,文京区議会議員 海津 敦子 かいづあつこ,海津敦子,846,1
256504371891671,the-issues.jp,株式会社issues,776,3
2191273960909166,前小山町長　込山正秀後援会,前小山町長　込山正秀後援会,684,1
1677419399148240,たはら亮 後援会（朝霞市）,Ryo  Tahara,610,1
107071225655646,島田かおる後援会,島田 薫,607,1
104533215755145,ZOE_Japan,ZOE Japan,482,1
551303845317383,高橋元気（中央区議会議員）,Genki Takahashi,477,1
259163764160829,FoE Japan,FoE Japan,473,3
286961748136968,目黒区議会議員　河野陽子,Yoko Kono,470,1
