Location name,Amount spent (VND)
An Giang Province,12650
Bà Rịa–Vũng Tàu Province,17946
Bình Dương Province,78580
Bình Phước Province,6026
Bình Thuận Province,15246
Bình Định Province,46020
Bạc Liêu Province,8914
Bắc Giang Province,65251
Bắc Kạn Province,8985
Bắc Ninh Province,64887
Bến Tre Province,14027
Cao Bằng Province,11834
Cà Mau Province,22422
Cần Thơ,21418
Da Nang,40316
Gia Lai Province,64399
Haiphong,132249
Ho Chi Minh City,1369564
Hà Giang Province,14745
Hà Nam Province,8185
Hà Tĩnh Province,40978
Hòa Bình Province,18841
Hưng Yên Province,26729
Hải Dương Province,85007
Hậu Giang Province,2679
Khánh Hòa Province,17657
Kiên Giang Province,31965
Kon Tum Province,1864
Lai Châu Province,7814
Long An Province,38984
Lào Cai Province,30530
Lâm Đồng Province,21018
Lạng Sơn Province,45443
Nam Định Province,67554
Nghệ An Province,95179
Ninh Bình Province,26403
Ninh Thuận Province,6514
Phú Thọ Province,28467
Phú Yên Province,15567
Quảng Bình Province,17247
Quảng Nam Province,7798
Quảng Ngãi Province,16778
Quảng Ninh Province,58440
Quảng Trị Province,7181
Sóc Trăng Province,8564
Sơn La Province,55806
Thanh Hóa Province,75402
Thái Bình Province,34768
Thái Nguyên Province,76675
Thừa Thiên–Huế Province,77129
Tiền Giang Province,19675
Trà Vinh Province,5014
Tuyên Quang Province,13126
Tây Ninh Province,31426
Vĩnh Long Province,4786
Vĩnh Phúc Province,19210
Yên Bái Province,50161
Điện Biên Province,23352
Đắk Lắk Province,42217
Đắk Nông Province,3093
Đồng Nai Province,59083
Đồng Tháp Province,10529
