Location name,Amount spent (JMD)
Clarendon Parish,≤100
Hanover Parish,≤100
Manchester Parish,≤100
Portland Parish,≤100
Saint Andrew Parish,455
Saint Ann Parish,≤100
Saint Catherine Parish,152
Saint Elizabeth Parish,≤100
Saint James Parish,152
Saint Mary Parish,≤100
Saint Thomas Parish,≤100
Trelawny Parish,≤100
Westmoreland Parish,≤100
