Page ID,Page name,Disclaimer,Amount spent (HUF),Number of ads in Library
120370174702378,Magyarország Kormánya,Magyarország Kormánya,1202743,1
543788999005363,ORIGO,Mediaworks Hungary Zrt.,206983,11
109637397268775,Nyugati Pályán,Splendidea Communications Kft,204649,4
178362315106,European Parliament,European Parliament,154035,10
191461774219575,hirado.hu,hirado.hu,101470,28
248172631940,Mandiner,Mediaworks Hungary Zrt.,95432,10
109503892404998,Világgazdaság,Mediaworks Hungary Zrt.,75220,6
326635018181862,Magyar Nemzet,Mediaworks Hungary Zrt.,62575,6
153992771336740,Origo Sport,Mediaworks Hungary Zrt.,57540,8
47198507012,LMP - Magyarország Zöld Pártja,LMP - Magyarország Zöld Pártja,49634,4
189020783523,Mathias Corvinus Collegium - MCC,Mathias Corvinus Collegium Alapítvány,45566,11
187280168720178,NE HAGYD,International Organization for Migration (IOM) Hungary,40691,15
331580946799,Borsonline - Bors Szórakoztató Napilap,Borsonline - Bors Szórakoztató Napilap,38918,3
211156277497,WWF Hungary,WWF Hungary,37577,37
1534911313439123,Ripost,Ripost,37174,4
264517713636590,PestiSracok.hu,PestiSrácok.hu,31544,8
108346693873484,Győrffy Balázs,Balazs Gyorffy,30062,3
614294538753164,Dunántúli Regionális Vízmű Zrt. hivatalos oldala,Dunántúli Regionális Vízmű Zrt.,27003,10
408924035951553,Körforrás,Körforrás,25979,49
76748198685,Budapest Pride,Budapest Pride,20214,11
35634348348,Greenpeace Magyarország,Greenpeace Magyarország,20213,5
451844608304228,Metropol,Metropol,17955,3
594088897289853,Alapjogokért Központ,Alapjogokért Központ,17839,5
592204747588011,Momentum Mozgalom,Momentum Mozgalom,17434,2
44847086574,Amnesty International Magyarország,Amnesty International Magyarország,17060,11
131283758531,HVG,HVG Kiadó ZRt.,16756,10
506348326210466,Ungár Péter,LMP - Magyarország Zöld Pártja,16722,7
191946490841225,Dúró Dóra,Mi Hazánk Mozgalom,16203,2
851784814892644,Simicskó István,KDNP frakció,16104,2
1944720419101498,Dr. Lévai István Zoltán,Dr. Lévai István Zoltán,16003,4
102426795954406,Nobilis Márton,Nobilis Márton,15279,11
127701053984874,Flesch Központ,Flesch Központ,14530,1
103294948505659,Szánthó Miklós,Szánthó Miklós – Alapjogokért Központ,14347,6
143151351544,Színházi Olimpia 2023 / Theatre Olympics 2023,Szinházi Olimpia Nonprofit Kft.,14119,7
142116653162328,Márki-Zay Péter,Márki-Zay Péter,14048,24
184922004946258,Horváth Csaba,Budapest Főváros XIV. Kerület Zugló Önkormányzata,14039,2
376436808069,Eventim - Ticket Express Hungary,TEX Hungary Kft.,12958,1
221761091331222,Danube Institute,Danube Institute,12943,12
108248022589754,Bosch Magyarország,Bosch Magyarország,12509,8
623719727672871,Nestlé,Nestlé Hungária Kft.,11592,2
134324809941862,Szoljon.hu,Mediaworks Hungary Zrt.,10947,2
203158929827,Beol.hu Békés vármegyei online,Mediaworks Hungary Zrt.,10875,2
92932085233,TASZ,TASZ,10719,2
113043410066839,Momentum Zala,Momentum Mozgalom,10696,5
506244332746545,TEOL.hu,TEOL.hu,10672,2
365977046868250,Nemzeti Agrárgazdasági Kamara - NAK,Nemzeti Agrárgazdasági Kamara,10516,3
258636010813346,Delmagyar.hu,Mediaworks Hungary Zrt.,10503,2
122922027734811,feol.hu,Mediaworks Hungary Zrt.,10458,2
172936669443469,Dunaújvárosi Hírlap - duol.hu,Dunaújvárosi Hírlap - duol.hu,10228,2
1627127484170228,NHC24,Mediaworks Hungary Zrt.,10222,2
160935777365,bama.hu - a baranyai hírportál,bama.hu - a baranya megyei hírportál,10125,2
107760432613264,Sonline.hu - Somogy közösségi és hírportálja,Sonline.hu - Somogy közösségi és hírportálja,10099,2
320986996098,zaol.hu,Mediaworks Hungary Zrt.,10064,2
734217673259088,Ujhelyi István dr.,Ujhelyi István EP-képviselő,10021,63
326763130286,Borsod Online,Mediaworks Hungary Zrt.,10018,2
129255963785124,Heol.hu,Heol.hu,9948,2
125953004085398,Kemma.hu,Kemma.hu,9903,2
296310837699,vaol.hu,Mediaworks Hungary Zrt.,9839,2
147633001941737,kisalfold.hu,kisalfold.hu,9817,2
463251933733036,Csongrád-Csanád Vármegyei Kormányhivatal,Miniszterelnökség,9743,3
276554411147,Szabolcs Online,Mediaworks Hungary Zrt.,9697,2
116905388345518,veol.hu,Mediaworks Hungary Zrt.,9621,2
308871671705,BAON Bács-Kiskun vármegyei Online,Mediaworks Hungary Zrt.,9303,2
124991704202615,Magyar Természetvédők Szövetsége- Föld Barátai Magyarország,Magyar Természetvédők Szövetsége- Föld Barátai Magyarország,9052,3
150219742265121,Bedő Dávid,Bedő Dávid - Momentum,8868,1
113684438795574,Párbeszéd Magyarországért,Párbeszéd Magyarországért,8419,4
102474542009609,Megafilm,MEGA FILM Kft.,8416,2
1584646591763647,Kanász-Nagy Máté,LMP - Magyarország Zöld Pártja,8228,4
112694594992064,Mehr Licht,Mehr Licht,7978,9
268042136672212,Századvég,Századvég Közéleti Tudásközpont Alapítvány,7913,2
537817739693723,Brain Bar,Brain Bar,7876,4
303640261940,Nemzeti Sport Online,Mediaworks Hungary Zrt.,7864,2
1215492498464496,Angyal Károly,LMP - Magyarország Zöld Pártja,7767,7
152408681635243,Hírklikk.hu,Hírklikk.hu,7744,1
273533866010019,MAZSIHISZ-Magyarországi Zsidó Hitközségek Szövetsége,MAZSIHISZ,7382,1
103922897650335,Bakos Bernadett,LMP - Magyarország Zöld Pártja,7364,3
110599253866889,Millenna,Millenna Újság,7227,1
112677144392091,Dr. Pajtók Gábor,FIDESZ,6859,2
1429644723963832,Tolna Vármegyei Kormányhivatal,Miniszterelnökség,6780,2
453802905161311,Nógrád Vármegyei Kormányhivatal,Miniszterelnökség,6700,2
2214391078645398,Jász-Nagykun-Szolnok Vármegyei Kormányhivatal,Miniszterelnökség,6691,2
103478164920832,Rubicon Intézet,Rubicon Intézet,6680,13
2155947464718423,Heves Vármegyei Kormányhivatal,Miniszterelnökség,6671,2
760926210681362,Békés Vármegyei Kormányhivatal,Miniszterelnökség,6659,2
662957714132384,Baranya Vármegyei Kormányhivatal,Miniszterelnökség,6637,2
930524713813621,Veszprém Vármegyei Kormányhivatal,Miniszterelnökség,6634,2
265335314409901,Zala Vármegyei Kormányhivatal,Miniszterelnökség,6625,2
416013835184013,Somogy Vármegyei Kormányhivatal,Miniszterelnökség,6601,2
2244329389155255,Vas Vármegyei Kormányhivatal,Miniszterelnökség,6593,2
998942343645630,Győr-Moson-Sopron Vármegyei Kormányhivatal,Miniszterelnökség,6587,2
434504927308376,Szabolcs-Szatmár-Bereg Vármegyei Kormányhivatal,Miniszterelnökség,6550,2
2319973661602539,Fejér Vármegyei Kormányhivatal,Miniszterelnökség,6529,2
2157309410973606,Borsod-Abaúj-Zemplén Vármegyei Kormányhivatal,Miniszterelnökség,6527,2
280352548659958,Bács-Kiskun Vármegyei Kormányhivatal,Miniszterelnökség,6526,2
613386915353854,Pest Vármegyei Kormányhivatal,Miniszterelnökség,6460,2
510078013063912,Rózsa László Péter,Rózsa László Péter,6456,5
1895540780551498,Komárom-Esztergom Vármegyei Kormányhivatal,Miniszterelnökség,6436,2
713504822019923,Fidesz Székesfehérvár,Fidesz,6319,4
