Location name,Amount spent (ISK)
Capital Region,141778
Eastern Region,4428
Northeastern Region,9545
Northwestern Region,1691
Southern Peninsula,14919
Southern Region,12523
Unknown,≤100
Western Region,2536
Westfjords,1901
