Location name,Amount spent (VEF)
Amazonas,50000
Anzoátegui,3467853
Apure,250000
Aragua,5000000
Barinas,4890153
Bolívar (state),5500569
Capital District,13500379
Carabobo,9750379
Cojedes,250000
Delta Amacuro,250000
Falcón,750379
Guárico,500190
Lara,5482649
Miranda (state),3777472
Monagas,500190
Mérida,1250379
Nueva Esparta,277688
Portuguesa,813063
Sucre,500379
Trujillo,422876
Táchira,5543217
Unknown,≤100
Vargas,1250190
Yaracuy,957682
Zulia,12056211
