Location name,Amount spent (CZK)
Central Bohemian Region,9704
Hradec Králové Region,4056
Karlovy Vary Region,2006
Liberec Region,3274
Moravian-Silesian Region,8365
Olomouc Region,4377
Pardubice Region,3575
Plzeň Region,4461
Prague,20126
South Bohemian Region,4420
South Moravian Region,10209
Unknown,≤100
Vysočina Region,3200
Zlín Region,3956
Ústí nad Labem Region,6146
