Location name,Amount spent (PLN)
Greater Poland Voivodeship,5628
Kuyavian-Pomeranian Voivodeship,3428
Lesser Poland Voivodeship,5878
Lower Silesian Voivodeship,5851
Lublin Voivodeship,2374
Lubusz Voivodeship,2475
Masovian Voivodeship,9685
Opole Voivodeship,1525
Podkarpackie Voivodeship,2782
Podlaskie Voivodeship,1147
Pomeranian Voivodeship,3955
Silesian Voivodeship,7253
Unknown,≤100
Warmian-Masurian Voivodeship,1867
West Pomeranian Voivodeship,3054
Łódź Voivodeship,5187
Świętokrzyskie Voivodeship,1671
