Page ID,Page name,Disclaimer,Amount spent (PLN),Number of ads in Library
102931488739,Platforma Obywatelska,Platforma Obywatelska,2712,12
142614625077,WWF Polska,WWF Polska,2457,47
136884656519145,IOM Poland,International Organization for Migration,2433,8
1683534065241470,OKO.press,OKO.press,2221,37
63563473556,Gazeta Wyborcza,Gazeta Wyborcza,1503,14
196334343778888,Polskie Centrum Pomocy Międzynarodowej (PCPM),PCPM with Facebook ad credits,1290,28
111465470197991,Mateusz Morawiecki,Mateusz Morawiecki,1251,15
108675458379147,Liczy się energia,Liczy się energia,1130,2
178415208919146,Solidarna Polska,Solidarna Polska,1087,5
513969188677442,Compassion Polska,Compassion Polska,1006,16
380485532115847,Ministerstwo Rodziny i Polityki Społecznej,Ministerstwo Rodziny i Polityki Społecznej,857,1
57544755889,Amnesty International Polska,Amnesty International Polska,769,27
520444618035778,Grupa EPL w Parlamencie Europejskim,EPP Group in the European Parliament,764,4
578864425792499,Ośrodek Monitorowania Antypolonizmu,Fundacja Ośrodek Monitorowania Antypolonizmu,708,6
50063176484,TVN24,TVN,652,18
228168274881,wysokieobcasy,wysokieobcasy,646,21
104884392877324,Alivia,Alivia - Fundacja Onkologiczna,627,8
1715196158626102,Operacja Czysta Rzeka,Operacjarzeka,619,24
342536459089859,Beata Kempa,Grupa EKR - Beata Kempa MEP,604,5
469702339755768,Paweł Tanajno Polska Liberalna Strajk Przedsiębiorców,Iam4u.pl,604,119
178362315106,European Parliament,European Parliament,598,6
182038191908977,Cyfryzacja KPRM,Kancelaria Prezesa Rady Ministrów,595,7
292640324174614,Hellozdrowie.pl,Redakcja Hello Zdrowie,545,8
130220166122,Kupuj odpowiedzialnie,Kupuj odpowiedzialnie,520,5
104921858016507,Dzień Dobry Podatki,Michał Wilk,486,19
180185019111,Tygodnik Powszechny,Tygodnik Powszechny,485,6
344620515579640,Fundacja Równość.org.pl,Fundacja Równość.org.pl,484,20
393084100793680,Wiedza i Praktyka,Wiedza i Praktyka,481,6
145040892212618,Ministerstwo Obrony Narodowej,Ministerstwo Obrony Narodowej,448,2
406758116099067,Fundacja Kasisi,Fundacja Kasisi,427,5
108301418501661,Odszkodowania Za Represje 1944-1989,Łukasz Świątek,417,9
339855706171439,Dobra Fabryka,Dobra Fabryka,415,6
199877710116314,Patryk Jaki,Patryk Jaki,409,2
1436380093288077,Park Dzieje,Stowarzyszenie Dzieje,343,4
311766890555,Fundacja Batorego,Fundacja Batorego,330,63
295161506338,AKADEMIA PRZYSZŁOŚCI,Stowarzyszenie Wiosna,327,6
69153026654,Jerzy Buzek,Jerzy Buzek,322,2
1476105062719575,Prawicowy Szczecin,Dariusz Matecki - Solidarna Polska,309,6
312816688890250,Dariusz Matecki,Dariusz Matecki Radny Miasta Szczecin,298,5
205945942802470,Polska Agencja Rozwoju Przedsiębiorczości,Polska Agencja Rozwoju Przedsiębiorczości,292,3
286672948180163,Tomasz Trela,Poseł Tomasz Trela,282,7
1381575975475340,EduAkcja - szkolenia dla nauczycieli,EduAkcja sp. z o.o.,278,10
168737999982045,Visegrad Insight,Visegrad Insight,265,6
74863922834,Krytyka Polityczna,Krytyka Polityczna,250,12
1227194230675141,Pratia,Pratia SA,245,7
102811109411234,Do:łącz,Dołącz,239,2
145382618855042,Muzeum Sztuki w Łodzi,Muzeum Sztuki w Łodzi,236,1
475584852475176,Pozytron,Bartłomiej Jan Ginter,231,10
142210712522850,Województwo Podlaskie,Urząd Marszałkowski Województwa Podlaskiego,225,1
514735281965536,Demagog,Stowarzyszenie Demagog,220,12
378777385998461,Grupa MTP,Grupa MTP,216,7
110554885250920,Postawmy na młodzież,Stowarzyszenie Projekt Poznań,213,19
1477251852486946,Kosma Złotowski,Grupa Europejskich Konserwatystów i Reformatorów,207,7
137358556439286,Ośrodek Monitorowania Zachowań Rasistowskich i Ksenofobicznych,Ośrodek Monitorowania Zachowań Rasistowskich i Ksenofobicznych,204,12
131511477684330,Znak Horyzont,Społeczny Instytut Wydawniczy Znak sp. z o.o.,199,13
1581518611867021,Zbigniew Ziobro,Zbigniew Ziobro,196,2
101510036210805,Centrum Interwencji Kryzysowej w Łodzi,Centrum Promocji i Rozwoju Inicjatyw Obywatelskich OPUS,192,3
113267398356583,,These ads ran without a disclaimer,178,2
173086948664,Infor.pl,Infor.pl,177,9
90194404398,Helsińska Fundacja Praw Człowieka,Helsińska Fundacja Praw Człowieka,167,74
334031263082,Międzynarodowy Festiwal Sztuk Przyjemnych i Nieprzyjemnych,Teatr Powszechny w Łodzi,167,4
157458232131,Prawo i Sprawiedliwość,Prawo i Sprawiedliwość,167,8
100302862419697,"Wielkopolska, tej",UMWW,166,12
110647840532680,Merge Mayor,These ads ran without a disclaimer,165,2
176114889652,Kancelaria Premiera,Kancelaria Premiera,163,1
292514454554454,Cartrack Polska,Cartrack Polska,153,3
114337719936632,Marszałek Artur Kosicki,Marszałek Artur Kosicki,152,2
102466034698538,Ośrodek Monitorowania Chrystianofobii Fidei Defensor,Biuro Fidei Defensor,138,2
105629772798008,Kraków PL,Kraków PL,137,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,136,2
160020290716774,Miejska Wola,Urząd Dzielnicy Wola,136,4
300745193630,Fundacja Pro - Prawo do Życia,Fundacja Pro - Prawo do Życia,136,7
229797220398331,Kampania Przeciw Homofobii,Kampania Przeciw Homofobii with Facebook ad credits,136,85
230415296997772,bydgoszcz.pl,bydgoszcz.pl,134,1
163488137165461,E.ON Polska,E.ON Polska,131,4
198196133533089,Polska Misja Medyczna / Polish Medical Mission,Polska Misja Medyczna / Polish Medical Mission,127,11
181020632309,Wydawnictwo Znak,Wydawnictwo Znak,126,10
999568213449974,"Niezależni PV - Fotowoltaika dla domu, firmy i rolnictwa",Łukasz Zbigniew Czerwiński,125,23
385532321805330,Pomorskie,Pomorskie,120,1
305401181544,UNICEF Poland,UNICEF Polska,120,3
1528030200840040,Muzeum Ziemi Wiśnickiej w Nowym Wiśniczu,Muzeum Ziemi Wiśnickiej,118,5
398575110474591,Krzysztof Gadowski - Poseł na Sejm RP,Biuro Poselskie Posła Krzysztofa Gadowskiego,118,3
391098174296294,Super Express,se.pl,116,5
38983213786,Res Publica Nowa,Res Publica Nowa,113,2
405326618416,Parlament Europejski - Biuro w Polsce,Parlament Europejski - Biuro w Polsce,112,1
544480002382374,Instytut Polityk Publicznych,Instytut Polityk Publicznych,111,2
159205967423152,Stowarzyszenie Sursum Corda /w górę serca/,H4People,110,4
312204349288060,Mariusz Gosek,Mariusz Gosek,110,5
371981706755861,Kierunek na EKO,OS3 Sp. z o. o.,109,2
175265462526365,Ośrodek Twórczej Interwencji OTi,Ośrodek Twórczej Interwencji OTi - Katarzyna Adamska,108,1
2320275388297228,Marcin Romanowski,Marcin Romanowski,108,1
109218848183780,Marek Woźniak,UMWW,106,6
102759805294356,Dariusz Matecki - Radny Miasta Szczecin,Dariusz Matecki Radny Miasta Szczecin,105,4
355335447987852,"Katarzyna Stachowicz - samorządowiec, działaczka społeczna",Katarzyna Karolina Stachowicz,104,2
199739460042641,Zdrowie w stylu LUX MED,Zdrowie w stylu LUX MED,104,4
521216701360487,MURATOR,MURATOR,102,1
141049865933925,Katolicka Agencja Informacyjna / KAI,Katolicka Agencja Informacyjna,≤100,1
105039892358886,FURPO - Świadczenie Pielęgnacyjne,FURPO GROUP SP. Z O.O.,≤100,8
286243508135957,Solidarna Polska - Nowe Pokolenie,Solidarna Polska,≤100,1
1542839122649641,Paweł Napolski,Paweł Napolski,≤100,2
505864632777215,Tygodnik Lisickiego,Orle Pióro sp. z o.o.,≤100,3
621959344553367,DNA Rynków - merytorycznie o giełdach i gospodarkach,DNA Rynków,≤100,20
530684193733422,Marcin Skonieczka,Marcin Skonieczka,≤100,2
101070361361998,FEGA,Hurtownia Elektryczna Fega,≤100,2
101185701666967,Stop Milczeniu - stop pedofilii w kościele,Stop Milczeniu,≤100,6
10150116077700370,Fundacja Rodzić po Ludzku,Fundacja Rodzić po Ludzku,≤100,9
436111276479085,Sieć Obywatelska - Watchdog Polska,Sieć Obywatelska - Watchdog Polska,≤100,9
100109842796173,Foodies,These ads ran without a disclaimer,≤100,1
142218132483199,Kasa Stefczyka,Kasa Stefczyka,≤100,2
106552182752379,Fortum Polska,Fortum Power and Heat Polska Sp. z o.o.,≤100,2
111536078074010,Strefa Logopedy,Wiedza i Praktyka,≤100,1
176619537364977,Grodno S.A.,Grodno S.A.,≤100,3
100507332348221,Liberfor,Liberfor,≤100,4
103657874361929,Rafał Mekler,Piotr Zduńczyk,≤100,1
