Location name,Amount spent (AUD)
Australian Capital Territory,1206
Jervis Bay Territory,≤100
New South Wales,85048
Norfolk Island,≤100
Northern Territory,780
Queensland,10424
South Australia,3105
Tasmania,1651
Unknown,≤100
Victoria,15179
Western Australia,6309
