Location name,Amount spent (ZAR)
Eastern Cape,712
Free State,329
Gauteng,2277
KwaZulu-Natal,702
Limpopo,463
Mpumalanga,521
North West,346
Northern Cape,221
Unknown,≤100
Western Cape,5890
