Page ID,Page name,Disclaimer,Amount spent (AUD),Number of ads in Library
9480502970,Greenpeace Australia Pacific,Greenpeace Australia Pacific,6157,282
532962446729390,Australian Families,Department of Social Services,3952,49
101589645013040,Thrive by Five,Thrive By Five,3699,22
299753643444311,AEC,Australian Electoral Commission,3275,30
119271104477423,Essential Medicine Shortages,The Pharmacy Guild of Australia,3237,19
117241141903,Barnardos Australia,Barnardos Australia,2522,31
104180525925926,Fair Australia,Advance Australia,2140,11
112133637214684,Doctors Without Borders / Médecins Sans Frontières (MSF),Médecins Sans Frontières Australia,2049,22
514475628623089,Our Watch,Our Watch,2048,2
10113538711,WWF-Australia,WWF-Australia,1964,29
494820897261439,Bank Australia,Bank Australia,1711,51
165242077409311,Australian Automobile Association,Australian Automobile Association,1381,7
495731404149305,Koffels Solicitors & Barristers,Koffels Solicitors and Barristers,1381,14
376006035816016,Storyworth,These ads ran without a disclaimer,1298,8
1776727752614025,Glencore,Glencore Australia,1277,12
160054227468,World Vision Australia,World Vision Australia,1189,18
845410525497100,Launch Housing,Launch Housing,1178,54
666041500505740,IBAC Victoria's Independent Broad-based Anti-corruption Commission,IBAC,854,2
352953834815624,Jason Wood MP,Jason Wood MP,851,16
100542623037993,New Zealand Labour Party in Australia,NZ Parliamentary Service on behalf of New Zealand Labour Party,694,2
118601381509264,Public Transport Victoria,Public Transport Victoria,660,2
182564410468,Australia for UNHCR,Australia for UNHCR,609,63
108695110952294,Greens MPs,Greens MPs,568,11
290700654767295,The Chamber of Minerals and Energy of Western Australia - CMEWA,The Chamber of Minerals and Energy of Western Australia,556,26
102329728050606,Yes23,Yes23,445,11
102292348146435,The Uluru Statement from the Heart,"Indigenous Law Centre, UNSW",440,2
14193666340,Australian Conservation Foundation,Australian Conservation Foundation,438,13
424864151385105,Gavin Pearce MP,Gavin Pearce MP,434,2
290190314438,The West Australian,The West Australian,425,8
1621692424754301,Minderoo Foundation,Minderoo Foundation,424,13
157481181070130,Indigenous Employment Australia,Indigenous Employment Australia,423,149
22936848857,Institute of Public Affairs,Institute of Public Affairs,415,7
149648047339,Save the Children Australia,Save the Children Australia,412,23
162107547181406,LNP - Liberal National Party,Liberal National Party of Queensland,400,8
200480966638039,Supremacy 1914,These ads ran without a disclaimer,370,2
118388888197666,Ed Husic MP,Ed Husic MP,368,7
110456094190032,Changing Aged Care,HSU National,366,14
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,352,4
8422338499,The Wilderness Society,The Wilderness Society,331,57
1766598643576242,Place Score,PLACESCORE,322,42
89794331215,Oxfam,Oxfam Australia,320,57
675483955936731,Julian Leeser MP,"Julian Leeser MP, Liberal Party, Pennant Hills, NSW",319,3
332509390785960,Angie Bell MP,Angie Bell MP,314,1
798754616870434,Libby Coker MP,Libby Coker MP,297,6
1670517743250253,Save the Daintree Rainforest,Rainforest 4 Foundation Ltd,296,3
10852627380,World Animal Protection Australia,World Animal Protection Australia,294,19
105140971475089,Chuffed.org - Australia,Chuffed.org,290,1
101162489378265,Gregory Brown for Rumney,Gregory Brown,289,16
