Location name,Amount spent (IDR)
Aceh,710349
Bali,1310258
Bangka–Belitung Islands,268065
Banten,2216063
Bengkulu,462928
Central Java,7134346
Central Kalimantan,518689
Central Sulawesi,878844
East Java,14422831
East Kalimantan,1216171
East Nusa Tenggara,1653003
Gorontalo,584773
Jakarta,9457322
Jambi,662705
Lampung,1832081
Maluku,477195
North Kalimantan,197197
North Maluku,340437
North Sulawesi,1911730
North Sumatra,2951118
Papua (province),612873
Riau,1563883
Riau Islands Province,543045
South Kalimantan,629796
South Sulawesi,2172063
South Sumatra,1844174
Southeast Sulawesi,697748
Special Region of Yogyakarta,1084606
Unknown,9975
West Java,10121377
West Kalimantan,997424
West Nusa Tenggara,1265258
West Papua,285901
West Sulawesi,297835
West Sumatra,1020885
