Location name,Amount spent (SEK)
Blekinge County,9949
Dalarna County,18986
Gotland County,5085
Gävleborg County,19582
Halland County,20897
Jämtland County,9343
Jönköping County,21265
Kalmar County,14228
Kronoberg County,10790
Norrbotten County,17637
Skåne County,85141
Stockholm County,166322
Södermanland County,19176
Unknown,≤100
Uppsala County,27594
Värmland County,17582
Västerbotten County,18318
Västernorrland County,15733
Västmanland County,16786
Västra Götaland County,121561
Örebro County,18915
Östergötland County,27648
