Location name,Amount spent (AUD)
Australian Capital Territory,1172
Jervis Bay Territory,≤100
New South Wales,15483
Norfolk Island,≤100
Northern Territory,442
Queensland,11692
South Australia,4220
Tasmania,1673
Unknown,≤100
Victoria,12691
Western Australia,7334
