Location name,Amount spent (SEK)
Blekinge County,4395
Dalarna County,8913
Gotland County,1993
Gävleborg County,8930
Halland County,9035
Jämtland County,4274
Jönköping County,10468
Kalmar County,6646
Kronoberg County,5386
Norrbotten County,7918
Skåne County,46084
Stockholm County,84075
Södermanland County,9272
Unknown,≤100
Uppsala County,12312
Värmland County,8546
Västerbotten County,9187
Västernorrland County,7337
Västmanland County,8898
Västra Götaland County,57098
Örebro County,10404
Östergötland County,14315
