Location name,Amount spent (EGP)
Al Sharqia Governorate,3323
Alexandria Governorate,3336
Aswan Governorate,620
Asyut Governorate,1391
Beheira Governorate,1955
Beni Suef Governorate,819
Cairo Governorate,7402
Dakahlia Governorate,4285
Damietta Governorate,1119
Faiyum Governorate,868
Gharbia Governorate,2644
Giza Governorate,2985
Ismailia Governorate,1088
Kafr el-Sheikh Governorate,1598
Luxor Governorate,428
Matrouh Governorate,162
Minya Governorate,1469
Monufia Governorate,1833
New Valley Governorate,164
North Sinai Governorate,264
Port Said Governorate,571
Qalyubia Governorate,2031
Qena Governorate,937
Red Sea Governorate,313
Sohag Governorate,1496
South Sinai Governorate,131
Suez Governorate,413
Unknown,≤100
