Location name,Amount spent (MXN)
Aguascalientes,5827
Baja California,25272
Baja California Sur,4796
Campeche,16322
Chiapas,14284
Chihuahua,19044
Coahuila de Zaragoza,18226
Colima,5838
Distrito Federal,80715
Durango,7016
Guanajuato,50674
Guerrero,10925
Hidalgo,11265
Jalisco,86719
Michoacán de Ocampo,26461
Morelos,11592
Nayarit,5990
Nuevo León,77440
Oaxaca,12312
Puebla,22266
Querétaro Arteaga,27541
Quintana Roo,9051
San Luis Potosi,14597
Sinaloa,15091
Sonora,17055
State of Mexico,133151
Tabasco,12304
Tamaulipas,31558
Tlaxcala,4151
Unknown,≤100
Veracruz,34334
Yucatán,30553
Zacatecas,5664
