Location name,Amount spent (GTQ)
Alta Verapaz Department,359
Baja Verapaz Department,≤100
Chimaltenango Department,210
Chiquimula Department,119
El Progreso Department,≤100
Escuintla Department,343
Guatemala Department,3714
Huehuetenango Department,388
Izabal Department,214
Jalapa Department,113
Jutiapa Department,170
Petén Department,140
Quetzaltenango Department,454
Quiché Department,233
Retalhuleu Department,153
Sacatepéquez Department,225
San Marcos Department,706
Santa Rosa Department,≤100
Sololá Department,129
Suchitepéquez Department,280
Totonicapán Department,≤100
Zacapa Department,117
