Location name,Amount spent (USD)
Al Anbar Governorate,≤100
Al-Qādisiyyah Governorate,≤100
Babil Governorate,108
Baghdad Governorate,569
Basra Governorate,148
Dhi Qar Governorate,≤100
Diyala Governorate,≤100
Dohuk Governorate,177
Erbil Governorate,273
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,135
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,≤100
Nineveh Governorate,191
Saladin Governorate,≤100
Sulaymaniyah Governorate,279
Unknown,≤100
Wasit Governorate,≤100
