Location name,Amount spent (IDR)
Aceh,2022293
Bali,2289923
Bangka–Belitung Islands,606774
Banten,3165046
Bengkulu,1210534
Central Java,14564356
Central Kalimantan,1051871
Central Sulawesi,1322155
East Java,12014306
East Kalimantan,3136363
East Nusa Tenggara,2448314
Gorontalo,839802
Jakarta,16139018
Jambi,1254834
Lampung,5379499
Maluku,1774195
North Kalimantan,556088
North Maluku,591612
North Sulawesi,3505139
North Sumatra,4544487
Papua (province),904187
Riau,2760507
Riau Islands Province,1280189
South Kalimantan,1357990
South Sulawesi,5819588
South Sumatra,3718200
Southeast Sulawesi,1042300
Special Region of Yogyakarta,1370130
Unknown,22266
West Java,15948799
West Kalimantan,2473011
West Nusa Tenggara,1701035
West Papua,509103
West Sulawesi,653809
West Sumatra,2447410
