Location name,Amount spent (THB)
Amnat Charoen,155
Ang Thong,136
Ayutthaya,1632
Bangkok,35756
Bueng Kan,163
Buriram,675
Chachoengsao,1912
Chai Nat,1900
Chaiyaphum,399
Chanthaburi,390
Chiang Mai,1778
Chiang Rai,910
Chon Buri,15431
Chumphon,891
Kalasin,413
Kamphaeng Phet,644
Kanchanaburi,790
Khon Kaen,1175
Krabi,448
Lampang,538
Lamphun,302
Loei,315
Lop Buri,343
Mae Hong Son,124
Maha Sarakham,473
Mukdahan,156
Nakhon Nayok,148
Nakhon Pathom,1627
Nakhon Phanom,1106
Nakhon Ratchasima,1624
Nakhon Sawan,495
Nakhon Si Thammarat,1545
Nan,195
Narathiwat,364
Nong Bua Lam Phu,326
Nong Khai,255
Nonthaburi,1690
Pathum Thani,1402
Pattani,574
Phangnga,332
Phatthalung,743
Phayao,537
Phetchabun,480
Phetchaburi,578
Phichit,742
Phitsanulok,4016
Phrae,238
Phuket,5175
Prachin Buri,372
Prachuap Khiri Khan,438
Ranong,183
Ratchaburi,1025
Rayong,1060
Roi Et,511
Sa Kaeo,385
Sakon Nakhon,434
Samut Prakan,6970
Samut Sakhon,1252
Samut Songkhram,496
Saraburi,469
Satun,362
Sing Buri,281
Sisaket,601
Songkhla,5101
Sukhothai,482
Suphan Buri,572
Surat Thani,1240
Surin,561
Tak,248
Trang,627
Trat,131
Ubon Ratchathani,985
Udon Thani,725
Unknown,≤100
Uthai Thani,141
Uttaradit,237
Yala Province,356
Yasothon,240
