Location name,Amount spent (JPY)
Aichi Prefecture,102200
Akita Prefecture,29615
Aomori Prefecture,2588
Chiba Prefecture,128551
Ehime Prefecture,50118
Fukui Prefecture,46157
Fukuoka Prefecture,179914
Fukushima Prefecture,2624
Gifu Prefecture,12234
Gunma Prefecture,31963
Hiroshima Prefecture,54547
Hokkaido,37763
Hyōgo Prefecture,130556
Ibaraki Prefecture,13930
Ishikawa Prefecture,7256
Iwate Prefecture,2813
Kagawa Prefecture,19963
Kagoshima Prefecture,14032
Kanagawa Prefecture,109135
Kumamoto Prefecture,13284
Kyoto Prefecture,36588
Kōchi Prefecture,3095
Mie Prefecture,41567
Miyagi Prefecture,11100
Miyazaki Prefecture,7150
Nagano Prefecture,55103
Nagasaki Prefecture,16381
Nara Prefecture,46237
Niigata Prefecture,10728
Okayama Prefecture,12458
Okinawa Prefecture,4357
Osaka Prefecture,921465
Saga Prefecture,37245
Saitama Prefecture,82488
Shiga Prefecture,16085
Shimane Prefecture,6096
Shizuoka Prefecture,21442
Tochigi Prefecture,94079
Tokushima Prefecture,3886
Tokyo,170838
Tottori Prefecture,692
Toyama Prefecture,5728
Unknown,≤100
Wakayama Prefecture,14480
Yamagata Prefecture,37848
Yamaguchi Prefecture,2490
Yamanashi Prefecture,1650
Ōita Prefecture,21219
