Location name,Amount spent (TRY)
Adana Province,364
Adıyaman Province,≤100
Afyonkarahisar Province,≤100
Aksaray Province,308
Amasya Province,≤100
Ankara Province,1727
Antalya Province,2070
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,276
Ağrı Province,≤100
Balıkesir Province,377
Bartın Province,≤100
Batman Province,≤100
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,≤100
Burdur Province,≤100
Bursa Province,683
Denizli Province,583
Diyarbakır Province,167
Düzce Province,≤100
Edirne Province,≤100
Elazığ Province,≤100
Erzincan Province,≤100
Erzurum Province,≤100
Eskişehir Province,458
Gaziantep Province,227
Giresun Province,≤100
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,307
Isparta Province,≤100
Istanbul Province,12458
Iğdır Province,≤100
Kahramanmaraş Province,116
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,≤100
Kayseri Province,225
Kilis Province,≤100
Kocaeli Province,728
Konya Province,597
Kütahya Province,≤100
Kırklareli Province,≤100
Kırıkkale Province,≤100
Kırşehir Province,≤100
Malatya Province,≤100
Manisa Province,491
Mardin Province,118
Mersin Province,417
Muğla Province,283
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,≤100
Ordu Province,111
Osmaniye Province,≤100
Rize Province,≤100
Sakarya Province,≤100
Samsun Province,261
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,≤100
Tekirdağ Province,179
Tokat Province,≤100
Trabzon Province,157
Tunceli Province,≤100
Unknown,≤100
Uşak Province,≤100
Van Province,≤100
Yalova Province,≤100
Yozgat Province,≤100
Zonguldak Province,≤100
Çanakkale Province,287
Çankırı Province,≤100
Çorum Province,≤100
İzmir Province,1483
Şanlıurfa Province,145
Şırnak Province,≤100
