Location name,Amount spent (CAD)
Alberta,15188
British Columbia,14531
Manitoba,1806
New Brunswick,1666
Newfoundland and Labrador,714
Northwest Territories,≤100
Nova Scotia,1935
Nunavut,≤100
Ontario,34963
Prince Edward Island,271
Quebec,16892
Saskatchewan,2168
Unknown,≤100
Yukon,146
