Location name,Amount spent (ZAR)
Eastern Cape,956
Free State,643
Gauteng,3407
KwaZulu-Natal,1502
Limpopo,421
Mpumalanga,481
North West,394
Northern Cape,182
Unknown,≤100
Western Cape,5547
