Location name,Amount spent (CAD)
Alberta,25793
British Columbia,9062
Manitoba,2609
New Brunswick,2071
Newfoundland and Labrador,849
Northwest Territories,145
Nova Scotia,1493
Nunavut,≤100
Ontario,22631
Prince Edward Island,273
Quebec,12223
Saskatchewan,2156
Unknown,≤100
Yukon,≤100
