Location name,Amount spent (JPY)
Aichi Prefecture,16382
Akita Prefecture,1350
Aomori Prefecture,1393
Chiba Prefecture,15706
Ehime Prefecture,3016
Fukui Prefecture,1702
Fukuoka Prefecture,40757
Fukushima Prefecture,2738
Gifu Prefecture,3558
Gunma Prefecture,3472
Hiroshima Prefecture,5486
Hokkaido,9949
Hyōgo Prefecture,15635
Ibaraki Prefecture,5059
Ishikawa Prefecture,2434
Iwate Prefecture,1776
Kagawa Prefecture,2034
Kagoshima Prefecture,2252
Kanagawa Prefecture,40431
Kumamoto Prefecture,3885
Kyoto Prefecture,13853
Kōchi Prefecture,1257
Mie Prefecture,3325
Miyagi Prefecture,10949
Miyazaki Prefecture,2003
Nagano Prefecture,4564
Nagasaki Prefecture,3611
Nara Prefecture,2996
Niigata Prefecture,3166
Okayama Prefecture,3967
Okinawa Prefecture,5774
Osaka Prefecture,25908
Saga Prefecture,2656
Saitama Prefecture,16089
Shiga Prefecture,3179
Shimane Prefecture,1105
Shizuoka Prefecture,9634
Tochigi Prefecture,3266
Tokushima Prefecture,1223
Tokyo,92843
Tottori Prefecture,856
Toyama Prefecture,1638
Unknown,≤100
Wakayama Prefecture,1458
Yamagata Prefecture,1581
Yamaguchi Prefecture,2307
Yamanashi Prefecture,1857
Ōita Prefecture,3492
