Location name,Amount spent (CZK)
Central Bohemian Region,10670
Hradec Králové Region,4455
Karlovy Vary Region,2715
Liberec Region,3720
Moravian-Silesian Region,9214
Olomouc Region,5073
Pardubice Region,4893
Plzeň Region,5382
Prague,22017
South Bohemian Region,4721
South Moravian Region,11318
Unknown,≤100
Vysočina Region,3596
Zlín Region,4255
Ústí nad Labem Region,6999
