Location name,Amount spent (JMD)
Clarendon Parish,≤100
Hanover Parish,≤100
Manchester Parish,126
Portland Parish,≤100
Saint Andrew Parish,662
Saint Ann Parish,105
Saint Catherine Parish,308
Saint Elizabeth Parish,≤100
Saint James Parish,154
Saint Mary Parish,≤100
Saint Thomas Parish,≤100
Trelawny Parish,≤100
Westmoreland Parish,154
