Location name,Amount spent (INR)
Andaman and Nicobar Islands,352
Andhra Pradesh,30624
Arunachal Pradesh,1890
Assam,36327
Bihar,115446
Chandigarh,1994
Chhattisgarh,27699
Dadra and Nagar Haveli,2502
Delhi,69378
Goa,4335
Gujarat,98692
Haryana,52240
Himachal Pradesh,19510
Jammu and Kashmir,14071
Jharkhand,28171
Karnataka,98281
Kerala,58451
Lakshadweep,≤100
Madhya Pradesh,95670
Maharashtra,155585
Manipur,3931
Meghalaya,9657
Mizoram,1727
Nagaland,1905
Odisha,21719
Puducherry,2500
Punjab region,49799
Rajasthan,238182
Sikkim,1362
Tamil Nadu,69758
Telangana,40353
Tripura,10615
Unknown,≤100
Uttar Pradesh,159059
Uttarakhand,17206
West Bengal,86785
