Location name,Amount spent (EGP)
Al Sharqia Governorate,1376
Alexandria Governorate,1142
Aswan Governorate,175
Asyut Governorate,432
Beheira Governorate,548
Beni Suef Governorate,248
Cairo Governorate,3234
Dakahlia Governorate,1527
Damietta Governorate,312
Faiyum Governorate,251
Gharbia Governorate,770
Giza Governorate,927
Ismailia Governorate,447
Kafr el-Sheikh Governorate,571
Luxor Governorate,128
Matrouh Governorate,≤100
Minya Governorate,471
Monufia Governorate,527
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,228
Qalyubia Governorate,633
Qena Governorate,309
Red Sea Governorate,124
Sohag Governorate,455
South Sinai Governorate,≤100
Suez Governorate,127
Unknown,≤100
