Location name,Amount spent (TRY)
Adana Province,46045
Adıyaman Province,5757
Afyonkarahisar Province,13771
Aksaray Province,6861
Amasya Province,6106
Ankara Province,144083
Antalya Province,67208
Ardahan Province,1562
Artvin Province,4296
Aydın Province,26180
Ağrı Province,3547
Balıkesir Province,27731
Bartın Province,4114
Batman Province,10457
Bayburt Province,966
Bilecik Province,7378
Bingöl Province,2127
Bitlis Province,2462
Bolu Province,6783
Burdur Province,5609
Bursa Province,73235
Denizli Province,27588
Diyarbakır Province,16804
Düzce Province,8610
Edirne Province,7837
Elazığ Province,6772
Erzincan Province,4056
Erzurum Province,11977
Eskişehir Province,28093
Gaziantep Province,41752
Giresun Province,12658
Gümüşhane Province,1709
Hakkâri Province,1532
Hatay Province,26433
Isparta Province,10138
Istanbul Province,584179
Iğdır Province,1788
Kahramanmaraş Province,17211
Karabük Province,5388
Karaman Province,5441
Kars Province,3403
Kastamonu Province,6016
Kayseri Province,33371
Kilis Province,2741
Kocaeli Province,38184
Konya Province,70430
Kütahya Province,10750
Kırklareli Province,8293
Kırıkkale Province,4636
Kırşehir Province,4507
Malatya Province,23194
Manisa Province,31909
Mardin Province,10898
Mersin Province,35169
Muğla Province,21935
Muş Province,2422
Nevşehir Province,4794
Niğde Province,7012
Ordu Province,16139
Osmaniye Province,11097
Rize Province,8921
Sakarya Province,14302
Samsun Province,29959
Siirt Province,2650
Sinop Province,4410
Sivas Province,9625
Tekirdağ Province,21021
Tokat Province,12333
Trabzon Province,34540
Tunceli Province,810
Unknown,244
Uşak Province,8870
Van Province,12029
Yalova Province,5345
Yozgat Province,6154
Zonguldak Province,9126
Çanakkale Province,10164
Çankırı Province,2685
Çorum Province,9267
İzmir Province,116328
Şanlıurfa Province,20883
Şırnak Province,4780
