Location name,Amount spent (TRY)
Adana Province,2937
Adıyaman Province,≤100
Afyonkarahisar Province,126
Aksaray Province,≤100
Amasya Province,≤100
Ankara Province,1201
Antalya Province,2936
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,396
Ağrı Province,≤100
Balıkesir Province,360
Bartın Province,≤100
Batman Province,≤100
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,≤100
Burdur Province,≤100
Bursa Province,773
Denizli Province,211
Diyarbakır Province,127
Düzce Province,4931
Edirne Province,≤100
Elazığ Province,≤100
Erzincan Province,≤100
Erzurum Province,114
Eskişehir Province,211
Gaziantep Province,247
Giresun Province,≤100
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,452
Isparta Province,≤100
Istanbul Province,6532
Iğdır Province,≤100
Kahramanmaraş Province,≤100
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,≤100
Kayseri Province,169
Kilis Province,≤100
Kocaeli Province,563
Konya Province,384
Kütahya Province,≤100
Kırklareli Province,≤100
Kırıkkale Province,≤100
Kırşehir Province,≤100
Malatya Province,≤100
Manisa Province,231
Mardin Province,≤100
Mersin Province,795
Muğla Province,431
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,≤100
Ordu Province,≤100
Osmaniye Province,≤100
Rize Province,≤100
Sakarya Province,≤100
Samsun Province,755
Siirt Province,≤100
Sinop Province,148
Sivas Province,≤100
Tekirdağ Province,168
Tokat Province,101
Trabzon Province,179
Tunceli Province,≤100
Unknown,≤100
Uşak Province,≤100
Van Province,≤100
Yalova Province,≤100
Yozgat Province,≤100
Zonguldak Province,≤100
Çanakkale Province,360
Çankırı Province,≤100
Çorum Province,≤100
İzmir Province,1287
Şanlıurfa Province,385
Şırnak Province,≤100
