Location name,Amount spent (SEK)
Blekinge County,3674
Dalarna County,7133
Gotland County,1681
Gävleborg County,7430
Halland County,8685
Jämtland County,3732
Jönköping County,8919
Kalmar County,5508
Kronoberg County,5066
Norrbotten County,7604
Skåne County,40609
Stockholm County,69367
Södermanland County,7784
Unknown,3582
Uppsala County,11499
Värmland County,6901
Västerbotten County,6938
Västernorrland County,8409
Västmanland County,6977
Västra Götaland County,47370
Örebro County,7487
Östergötland County,12537
