Page ID,Page name,Disclaimer,Amount spent (CLP),Number of ads in Library
216911928319871,Banco Bci,Banco Bci,415091,4
1548643738480723,Asistencia Deudores,Asistencia Deudores,147654,10
527441447268308,Copec,COPEC S.A.,124046,1
100447419569628,Demócratas Chile,Demócratas,122290,67
1818721128360253,Enel Group,These ads ran without a disclaimer,99509,1
105783868682878,Asistencia Tesorería,Asistencia Tesoreria,99188,4
105798328215264,Asistencia Familia,Asistencia Familia,74205,2
715843291871130,Congreso Futuro,Gonzalo Rosas Barrenechea,70341,5
110951722267366,World Vision Chile,World Vision Chile,58408,4
104189318481439,Minería y Futuro,Mineria y Futuro,57115,7
103527991214141,Cero DICOM,Cero Dicom,31739,5
102422525535808,FARMACIAS PUNTO BLANCO,Ranko Frane Lenac Pizarro,29560,2
371453409556353,Red Coquimbo,Diarios en Red,29450,7
580663538777736,Consejo Minero,Feedback Comunicaciones,29413,1
285417644878678,Red Antofagasta,Diarios en Red,28557,7
351583768232100,Red Tarapaca,Diarios en Red,28557,7
307330256067716,Red Atacama,Diarios en Red,26737,6
104224427947088,Circula el Plástico,Metrix,26416,13
110253331322287,Acuerdo Nacional Ahora,Acuerdo Nacional Ahora,26409,3
266574477169217,Ciudadano Videla Diputado,Elias Vaca Sanchez,25000,1
109339288407350,Santuario Quitralco,Santuario Quitralco,24981,1
120295334652273,Enrique Van Rysselberghe Herrera,Enrique Van Rysselberghe Herrera,23456,13
194541580691961,Consejo para la Transparencia,Consejo para la Transparencia,23319,3
600661340080888,Municipalidad de Salamanca,Municipalidad de Salamanca,22592,3
26929188652,El Observatodo,MiVoz.cl,22398,45
756450494522524,Andrés Jouannet Diputado,Andrés Alfonso Jouannet Valderrama,18741,15
429657563782175,Vlado Mirosevic Verdugo,Vlado Mirosevic Verdugo,17848,4
1575217122560418,Juan Ramón Godoy,Juan Ramón Godoy,16388,13
103030962615298,Chile YAAC,Chile YAAC,14641,3
121717528487698,Confidence Chile,Confidence Chile SPA,13389,25
126170624336,Amnistía Internacional - Chile,Amnistía Internacional Chile,12419,7
246478779511291,Lex Grupo Abogados,Lex Grupo Abogados,12403,1
1445910269057442,Desarrolla Biobío,Roberto Rolando Moreno Arenas,12363,1
181189911970230,Alberto Undurraga V,Alberto Undurraga Vicuña,10774,1
109626371709961,Salmones Austral,Salmones Austral,10486,18
1101427233255754,Christopher White,Christopher White Bahamondes,10472,17
1436530563295625,El Líbero,Sociedad Periodística El Líbero S.A,9700,1
100509762252,El Rancahuaso,MiVoz.cl,9181,12
643513979193133,Unidos por Beatriz,Neuma,8717,6
1844662035793976,Diputado Mauro González Villarroel,Mauro Daniel González Villarroel,7715,3
113838817025219,Coperiodistas,Coperiodistas,7657,2
104865379653366,Guido Girardi,Gonzalo Rosas Barrenechea,6567,1
179070875549922,El Naveghable,MiVoz.cl,6483,8
553717067994412,El Nortero,MiVoz.cl,6385,12
118863128144366,Kryzpo,These ads ran without a disclaimer,6068,1
401014659983460,El Morrocotudo,MiVoz.cl,5948,10
106088671518497,Agustín Iglesias Concejal Independencia,Agustin Ignacio Iglesias Munoz,5595,1
377313449498828,Uber Finis,Uber Finis,5355,2
184559421980613,Vlado Mirosevic Diputado,Vlado Mirosevic Verdugo,5355,1
11317582410,El Repuertero,MiVoz.cl,4771,8
108145794246480,El Espectador de Ñuble,El Espectadoor de Ñuble,4696,2
356808844426,El Martutino,MiVoz.cl,4651,5
295886120554128,Polpaico,Cemento Polpaico SA,4553,2
100826904957145,Centro Científico Tecnológico Región de Antofagasta,CICITEM,4342,1
541390972732127,Consejero Regional Rodrigo Vera,Rodrigo Vera Riquelme,4310,1
221901754840837,Acciona.Chile,ACCIONA Chile,4260,1
101180752297383,Gustavo Benavente Diputado,Gustavo Adolfo Alberto Benavente Vergara,4137,1
110405624650830,Chile En La Encrucijada,Juan Antonio Montes Varas,4131,2
112414063439760,Saludable SPA,Brecha Digital Consultores,4049,24
833378750055074,Radio Lago Villarrica 91.5 FM,Alejandro Tomas Martini Iriarte,4014,1
301596847064228,Emergencias Araucania,Alejandro Tomas Martini Iriarte,4013,1
1384455488528563,Sociedad Nacional de Minería,Sociedad Nacional de Minería,4000,1
102666401091730,Fedir Chile SpA,Brecha Digital Consultores Ltda.,3947,18
486113348433421,Ximena Ordenes Neira,Ximena Ordenes,3944,12
110346156981687,Alimentaciones Internacionales SA,Brecha Digital Consultores,3926,24
102891144402257,Merkén SpA,Brecha Digital Consultores,3907,18
