Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,238
Apurímac Region,≤100
Arequipa Region,346
Ayacucho Region,117
Cajamarca Region,311
Callao,305
Cusco Region,248
Huancavelica Region,≤100
Huánuco Region,120
Ica Region,250
Junín Region,239
La Libertad Region,571
Lambayeque Region,340
Lima Region,3025
Loreto Region,157
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,427
Puno Region,246
San Martín Region,159
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,109
Unknown,≤100
