Page ID,Page name,Disclaimer,Amount spent (IDR),Number of ads in Library
23383061178,Prabowo Subianto,indonesia Adil makmur,22194173,9
320858334728047,Partai Solidaritas Indonesia,Partai Solidaritas Indonesia,2528289,4
111580301790421,Cak Fauzi JATIM,Cak Fauzi Jatim,2477253,22
110090765246136,Yanti Airlangga,Yayasan Golkar Institute SPKP,1484862,7
108308008686834,G24 Golkar Jabar,Yayasan Golkar Institut SPKP,1392547,5
104427162506872,Fakta Anies,Fakta Anies,1270986,81
197545083607941,Harian Kompas,Harian Kompas,896996,21
101203454841155,Kota Kite,Prayogo,895371,9
106659018854198,G24 Golkar Jatim,Yayasan Golkar Institut SPKP,769796,5
143840239716746,Indozone.id,PT. INDOZONE MEDIA INDONESIA,765749,14
105124862343150,G24 Golkar Jateng,Yayasan Golkar Institut SPKP,749572,5
102317908914727,Climate Justice Indonesia,Climate Justice Indonesia,709797,7
678421075696415,Giring Ganesha,Partai Solidaritas Indonesia,660794,4
105818752347206,Teman Airlangga Hartarto,Aditia Ramdani,551255,12
109614491898151,G24 Golkar NTT,Yayasan Golkar Institut SPKP,512162,4
102122622640795,Catatan Menko Airlangga,Yayasan Golkar Institut,502708,2
1481929088506672,Andini Effendi,Yayasan Infobox,495043,3
104278069107924,G24 Golkar NTB,Yayasan Golkar Institute SPKP,487560,3
105621692292591,G24 Golkar Sulsel,Yayasan Golkar Institut SPKP,477011,5
110771227439502,Teman Sandi,Mohammad Izur Islami,467216,20
1408188616062841,Sofitel Bali Nusa Dua,Sofitel Bali Nusa Dua Beach Resort,407415,2
101389706093580,G24 Golkar Lampung,Yayasan Golkar Institute SPKP,391302,7
813887722072071,Yayasan Pundi Amal Bakti Ummat,Yayasan Pundi Amal Bakti Ummat,365889,12
111864151754055,Esensi TV,Esensi Tv,356211,6
109421458610554,G24 Golkar Riau,Yayasan Golkar Institute SPKP,341609,5
102712985995817,Sobat Airlangga Hartarto,Aditia Ramdani,332342,7
102099256044892,G24 Golkar DKI,Yayasan Golkar Institute SPKP,328224,9
107314345341621,Zakiyuddin Harahap,Zakiyuddin harahap,315914,12
112376825007045,Dewi Juliani 2024,Dewi Juliani 2024,308208,12
101679818973699,Sahabat Ganjar Pranowo,John Kamnahas,305570,21
105351238986805,G24 Golkar Sumut,Yayasan Golkar Institut SPKP,296050,3
106074385580593,G24 Golkar Banten,Yayasan Golkar Institut SPKP,295599,5
