Location name,Amount spent (IDR)
Aceh,1081196
Bali,1546251
Bangka–Belitung Islands,390307
Banten,2570968
Bengkulu,599602
Central Java,8360047
Central Kalimantan,624484
Central Sulawesi,1392452
East Java,10370959
East Kalimantan,1226946
East Nusa Tenggara,2206853
Gorontalo,1039614
Jakarta,4942377
Jambi,885330
Lampung,2308271
Maluku,464573
North Kalimantan,213942
North Maluku,345655
North Sulawesi,2646179
North Sumatra,4087031
Papua (province),578201
Riau,1991738
Riau Islands Province,793613
South Kalimantan,610744
South Sulawesi,3622299
South Sumatra,2712207
Southeast Sulawesi,936055
Special Region of Yogyakarta,1401228
Unknown,320661
West Java,11131562
West Kalimantan,1243585
West Nusa Tenggara,1803816
West Papua,307180
West Sulawesi,366462
West Sumatra,1547478
