Location name,Amount spent (PKR)
Azad Kashmir,1389
Balochistan,2139
Federally Administered Tribal Areas,465
Gilgit-Baltistan,847
Islamabad Capital Territory,8919
Khyber Pakhtunkhwa,20540
Punjab,37587
Sindh,14939
Unknown,≤100
