Location name,Amount spent (TRY)
Adana Province,1415
Adıyaman Province,174
Afyonkarahisar Province,392
Aksaray Province,335
Amasya Province,174
Ankara Province,4295
Antalya Province,2570
Ardahan Province,≤100
Artvin Province,107
Aydın Province,708
Ağrı Province,≤100
Balıkesir Province,992
Bartın Province,110
Batman Province,175
Bayburt Province,≤100
Bilecik Province,121
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,178
Burdur Province,194
Bursa Province,2086
Denizli Province,758
Diyarbakır Province,430
Düzce Province,205
Edirne Province,276
Elazığ Province,202
Erzincan Province,126
Erzurum Province,212
Eskişehir Province,772
Gaziantep Province,1138
Giresun Province,251
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,996
Isparta Province,308
Istanbul Province,20135
Iğdır Province,≤100
Kahramanmaraş Province,510
Karabük Province,131
Karaman Province,156
Kars Province,≤100
Kastamonu Province,179
Kayseri Province,705
Kilis Province,107
Kocaeli Province,910
Konya Province,1219
Kütahya Province,323
Kırklareli Province,537
Kırıkkale Province,398
Kırşehir Province,122
Malatya Province,243
Manisa Province,799
Mardin Province,243
Mersin Province,1147
Muğla Province,717
Muş Province,≤100
Nevşehir Province,147
Niğde Province,198
Ordu Province,440
Osmaniye Province,288
Rize Province,186
Sakarya Province,353
Samsun Province,1536
Siirt Province,≤100
Sinop Province,155
Sivas Province,239
Tekirdağ Province,1306
Tokat Province,576
Trabzon Province,406
Tunceli Province,≤100
Unknown,≤100
Uşak Province,255
Van Province,237
Yalova Province,147
Yozgat Province,149
Zonguldak Province,307
Çanakkale Province,303
Çankırı Province,≤100
Çorum Province,252
İzmir Province,4815
Şanlıurfa Province,684
Şırnak Province,116
