Location name,Amount spent (EGP)
Al Sharqia Governorate,2011
Alexandria Governorate,1274
Aswan Governorate,166
Asyut Governorate,400
Beheira Governorate,674
Beni Suef Governorate,306
Cairo Governorate,3865
Dakahlia Governorate,1366
Damietta Governorate,437
Faiyum Governorate,423
Gharbia Governorate,989
Giza Governorate,1581
Ismailia Governorate,238
Kafr el-Sheikh Governorate,545
Luxor Governorate,112
Matrouh Governorate,≤100
Minya Governorate,518
Monufia Governorate,656
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,232
Qalyubia Governorate,885
Qena Governorate,301
Red Sea Governorate,109
Sohag Governorate,517
South Sinai Governorate,≤100
Suez Governorate,140
Unknown,≤100
