Location name,Amount spent (RON)
Alba County,780
Arad County,1192
Argeș County,1729
Bacău County,1643
Bihor County,1361
Bistrița-Năsăud County,690
Botoșani County,880
Brașov County,1837
Brăila County,677
Bucharest,6231
Buzău County,795
Caraș-Severin County,723
Cluj County,1936
Constanța County,1574
Covasna County,505
Călărași County,551
Dolj County,1435
Dâmbovița County,843
Galați County,1446
Giurgiu County,406
Gorj County,953
Harghita County,977
Hunedoara County,1010
Ialomița County,410
Iași County,2363
Ilfov County,797
Maramureș County,1208
Mehedinți County,726
Mureș County,1458
Neamț County,1326
Olt County,680
Prahova County,1723
Satu Mare County,794
Sibiu County,1033
Suceava County,1495
Sălaj County,511
Teleorman County,587
Timiș County,2078
Tulcea County,425
Unknown,≤100
Vaslui County,740
Vrancea County,1064
Vâlcea County,948
