Page ID,Page name,Disclaimer,Amount spent (AOA),Number of ads in Library
200480966638039,Supremacy 1914,These ads ran without a disclaimer,544,1
101014586118927,Apkshop,Graciete De Carvalho Faustino,513,1
106700257795085,OMA Nacional,OMA Nacional,118,1
103789762224168,Xender emmanuel the  Internet Analyst,These ads ran without a disclaimer,≤100,1
101172741706127,ZPMC,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
109662488246997,Explore Haikou,These ads ran without a disclaimer,≤100,1
435272526866135,North American Kurdish Alliance - NAKA,These ads ran without a disclaimer,≤100,1
112746555000094,Js_m3,These ads ran without a disclaimer,≤100,1
725505594135727,Adventure Escape,These ads ran without a disclaimer,≤100,1
669307523469574,EveryJew,These ads ran without a disclaimer,≤100,4
98876727842,Cummins Inc,These ads ran without a disclaimer,≤100,1
