Location name,Amount spent (JPY)
Aichi Prefecture,66844
Akita Prefecture,4632
Aomori Prefecture,2509
Chiba Prefecture,45425
Ehime Prefecture,4722
Fukui Prefecture,3087
Fukuoka Prefecture,161974
Fukushima Prefecture,4698
Gifu Prefecture,16440
Gunma Prefecture,12682
Hiroshima Prefecture,10492
Hokkaido,20962
Hyōgo Prefecture,59919
Ibaraki Prefecture,16490
Ishikawa Prefecture,22283
Iwate Prefecture,2634
Kagawa Prefecture,8077
Kagoshima Prefecture,5719
Kanagawa Prefecture,89256
Kumamoto Prefecture,11038
Kyoto Prefecture,31816
Kōchi Prefecture,3493
Mie Prefecture,7170
Miyagi Prefecture,13066
Miyazaki Prefecture,8540
Nagano Prefecture,13251
Nagasaki Prefecture,12795
Nara Prefecture,11293
Niigata Prefecture,14363
Okayama Prefecture,8281
Okinawa Prefecture,9493
Osaka Prefecture,74362
Saga Prefecture,7999
Saitama Prefecture,50273
Shiga Prefecture,12412
Shimane Prefecture,2985
Shizuoka Prefecture,36076
Tochigi Prefecture,12188
Tokushima Prefecture,4420
Tokyo,449176
Tottori Prefecture,3818
Toyama Prefecture,2968
Unknown,144
Wakayama Prefecture,8013
Yamagata Prefecture,3596
Yamaguchi Prefecture,3907
Yamanashi Prefecture,2805
Ōita Prefecture,23522
