Location name,Amount spent (HUF)
Baranya County,238984
Borsod-Abaúj-Zemplén County,371113
Budapest,1289829
Bács-Kiskun County,296594
Békés County,203332
Csongrád County,258046
Fejér County,244936
Győr-Moson-Sopron County,266294
Hajdú-Bihar County,322708
Heves County,174673
Jász-Nagykun-Szolnok County,229128
Komárom-Esztergom County,180149
Nógrád County,106187
Pest County,651715
Somogy County,167312
Szabolcs-Szatmár-Bereg County,299894
Tolna County,140244
Unknown,≤100
Vas County,141674
Veszprém County,186699
Zala County,161717
