Location name,Amount spent (PYG)
Alto Paraguay Department,10680
Alto Paraná Department,1172475
Amambay Department,504182
Asunción,1063266
Boquerón department,60407
Caaguazú Department,397995
Caazapá Department,100096
Canindeyú Department,130368
Central Department,3408651
Concepción Department (Paraguay),187039
Cordillera Department,245118
Guairá Department,117198
Itapúa Department,459135
Misiones Department,179954
Paraguarí Department,160684
Presidente Hayes Department,85768
San Pedro Department,223956
Unknown,806
Ñeembucú Department,82931
