Location name,Amount spent (CZK)
Central Bohemian Region,42351
Hradec Králové Region,18991
Karlovy Vary Region,9884
Liberec Region,18646
Moravian-Silesian Region,40455
Olomouc Region,20209
Pardubice Region,17607
Plzeň Region,20740
Prague,73760
South Bohemian Region,21324
South Moravian Region,48551
Unknown,≤100
Vysočina Region,15772
Zlín Region,18304
Ústí nad Labem Region,35965
