Location name,Amount spent (AUD)
Australian Capital Territory,1144
Jervis Bay Territory,≤100
New South Wales,16215
Northern Territory,423
Queensland,10623
South Australia,3687
Tasmania,1185
Unknown,≤100
Victoria,12250
Western Australia,5249
