Location name,Amount spent (NIO)
Carazo Department,≤100
Chinandega Department,≤100
León Department,≤100
Managua Department,≤100
Nueva Segovia Department,≤100
Región Autónoma del Atlántico Norte,≤100
Región Autónoma del Atlántico Sur,≤100
