Location name,Amount spent (PKR)
Azad Kashmir,805
Balochistan,1415
Federally Administered Tribal Areas,281
Gilgit-Baltistan,519
Islamabad Capital Territory,1508
Khyber Pakhtunkhwa,7091
Punjab,19806
Sindh,1254472
Unknown,≤100
