Location name,Amount spent (CAD)
Alberta,7482
British Columbia,17976
Manitoba,2537
New Brunswick,1250
Newfoundland and Labrador,341
Northwest Territories,≤100
Nova Scotia,1114
Nunavut,≤100
Ontario,25787
Prince Edward Island,133
Quebec,15608
Saskatchewan,1811
Unknown,≤100
Yukon,160
