Location name,Amount spent (LBP)
Beirut Governorate,1933615
Beqaa Governorate,552239
Mount Lebanon Governorate,1250630
Nabatieh Governorate,253731
North Governorate,1105198
South Governorate,403113
Unknown,≤100
