Location name,Amount spent (AUD)
Australian Capital Territory,1585
Jervis Bay Territory,≤100
New South Wales,19610
Northern Territory,414
Queensland,13502
South Australia,4610
Tasmania,1144
Unknown,≤100
Victoria,24607
Western Australia,6078
