Location name,Amount spent (USD)
Al Anbar Governorate,128
Al-Qādisiyyah Governorate,≤100
Babil Governorate,129
Baghdad Governorate,760
Basra Governorate,160
Dhi Qar Governorate,144
Diyala Governorate,138
Dohuk Governorate,123
Erbil Governorate,308
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,131
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,145
Nineveh Governorate,230
Saladin Governorate,105
Sulaymaniyah Governorate,263
Unknown,≤100
Wasit Governorate,≤100
